Standortname;PLZ;Standplatz-Bezeichnung_Internet;Latitude;Longitude;Title
Freital-Hainsberg;1705;Bahnsteig;53,6039926;13,2898821;Bahnsteig - Freital-Hainsberg - 1705
Freital-Deuben;1705;im Infoturm;53,6039926;13,2898821;im Infoturm - Freital-Deuben - 1705
Freital-Potschappel;1705;Mittelbahnsteig;53,6039926;13,2898821;Mittelbahnsteig - Freital-Potschappel - 1705
Freital-Hainsberg West;1705;im Infoturm;53,6039926;13,2898821;im Infoturm - Freital-Hainsberg West - 1705
Freital-Deuben;1705;im Infoturm;53,6039926;13,2898821;im Infoturm - Freital-Deuben - 1705
Freital-Potschappel;1705;Mittelbahnsteig Richtung Dresden;53,6039926;13,2898821;Mittelbahnsteig Richtung Dresden - Freital-Potschappel - 1705
Tharandt;1737;Zugang Bahnsteig;53,6529695;14,1268625;Zugang Bahnsteig - Tharandt - 1737
Klingenberg-Colmnitz;1738;Zugang  Bahnsteig Richtung Dresden;53,6605031;13,8871991;Zugang  Bahnsteig Richtung Dresden - Klingenberg-Colmnitz - 1738
Glashütte (Sachs);1768;Bahnsteig;54,0821331;13,5856713;Bahnsteig - Glashütte (Sachs) - 1768
Kurort Altenberg (Erzgeb);1773;Übergang Busbahnhof;54,0821331;13,5856713;Übergang Busbahnhof - Kurort Altenberg (Erzgeb) - 1773
Edle Krone;1774;Bahnhofshalle;54,0821331;13,5856713;Bahnhofshalle - Edle Krone - 1774
Pirna;1796;Bahnsteig 1/2 Richtung Schöna;54,0821331;13,5856713;Bahnsteig 1/2 Richtung Schöna - Pirna - 1796
Obervogelgesang (Kr Pirna);1796;Zugang Bahnsteig Richtung Schöna;54,0821331;13,5856713;Zugang Bahnsteig Richtung Schöna - Obervogelgesang (Kr Pirna) - 1796
Pirna;1796;Bahnhofshalle;54,0821331;13,5856713;Bahnhofshalle - Pirna - 1796
Heidenau;1809;Bahnsteig 1/2;54,1023972;12,0759336;Bahnsteig 1/2 - Heidenau - 1809
Heidenau Süd;1809;Bahnsteig Richtung Dresden;54,1023972;12,0759336;Bahnsteig Richtung Dresden - Heidenau Süd - 1809
Heidenau;1809;Bahnsteig 5/6;54,1023972;12,0759336;Bahnsteig 5/6 - Heidenau - 1809
Heidenau-Großsedlitz;1809;Bahnsteig Richtung Dresden;54,1023972;12,0759336;Bahnsteig Richtung Dresden - Heidenau-Großsedlitz - 1809
Bad Schandau;1814;Bahnsteig 1;54,1718277;12,0910576;Bahnsteig 1 - Bad Schandau - 1814
Schmilka-Hirschmühle;1814;Bahnsteig Richtung Dresden;54,1718277;12,0910576;Bahnsteig Richtung Dresden - Schmilka-Hirschmühle - 1814
Schöna;1814;Bahnsteig Richtung Dresden;54,1718277;12,0910576;Bahnsteig Richtung Dresden - Schöna - 1814
Bad Schandau;1814;Bahnsteig 1;54,1718277;12,0910576;Bahnsteig 1 - Bad Schandau - 1814
Krippen;1814;Bahnhofshalle;54,1718277;12,0910576;Bahnhofshalle - Krippen - 1814
Königstein (Sächs Schweiz);1824;Zugang Bahnsteig Richtung Dresden;53,989132;11,8908452;Zugang Bahnsteig Richtung Dresden - Königstein (Sächs Schweiz) - 1824
Königstein (Sächs Schweiz);1824;Zugang Bahnsteig Richtung Schöna;53,989132;11,8908452;Zugang Bahnsteig Richtung Schöna - Königstein (Sächs Schweiz) - 1824
Kurort Rathen (Kr Pirna);1824;Zugang Bahnsteig Richtung Dresden;53,989132;11,8908452;Zugang Bahnsteig Richtung Dresden - Kurort Rathen (Kr Pirna) - 1824
